SHLAA Ref,Address,Area ha,_something_,Capacity,I&O RAG,Settlement Hierarchy,Green/Brown,Reason,Easting,Northing
1092,"St Ann's Lane - former Boston Exchange Diner), Leeds LS4 2SE",0.7,"",12,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,427084,435431
1172,"Yorkshire Bank Sports Ground (former), LS17",1.4,"",29,A,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,431017,438794
1299A,"Otley Road - Bodington Hall, Lawnswood  LS16",9.3,"",126,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,427158,438808
1339,"Calverley Lane, Horsforth - Clariant UK Ltd   LS18 4RP",18.8,"",331,P,Main Urban Area Extension,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,422162,437341
3010A,"Land south east of Holt Park Leisure Centre, Holt Park, Leeds",1.1,"",52,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,425998,439899
3151,"Queenshill Court, Moortown",0.6,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,430093,438731
3184,"Former Dutton Arms (PH), Queenswood Drive",0.2,"",9,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,426554,436313
3201,"The Former Lounge Cinema, North Lane, Headingley",0.2,"",12,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,427673,436106
3207,"Rear 268-274 Shadwell Lane, LS17",0.3,"",8,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,432120,439671
3215,"The Grove, North Lane, LS8",0.3,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,433604,436799
3217,"232 Burley Road, LS4",0.3,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,427896,434654
3301,"128 Wetherby Road, Roundhay, Leeds, LS8 2JZ",0.2,"",5,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,433524,437148
3341,LS8 2JJ,0.3,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,433131,437423
4055,"Former Police Station, Broadway, Horsforth",0.4,"",12,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,423249,437651
4058A,"Land at 116 Cardigan Road, Headingley",0.2,"",14,G,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,427956,435385
4093,"Salmon Crescent / Stanhope Drive, Horsforth",0.2,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,424274,438010
4177,"Park Cottages, Leeds 8",0.2,"",5,NonIO,Main Urban Area Extension,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,432765,438324
4179,"19 Shire Oak Road, LS6",0.2,"",6,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,428143,436156
4182,"St Anns Lane, LS4 2SE",0.3,"",13,NonIO,Main Urban Area Infill,Mix 60:40,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,427174,435424
4184,"Belmont House, Wood Lane, LS6",0.5,"",6,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,428289,436228
4188,"Former Grosvenor Casino, Harrogate Rd and Street Lane",0.2,"",13,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,430738,438554
5102,"Headingley Halls Of Residence 54 - 56 Headingley Lane, Headingley, Leeds, LS6 2BP",0.3,"",39,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,428536,435761
5106,"Former Squirrel Way Children's Home, Squirrel Way, Leeds, LS17 8fq",0.7,"",60,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,431604,439527
5112,"Stratford Court, School Lane, Chapel Allerton",0.3,"",28,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,430398,436949
5125,SUMMERFIELD HO OUTWOOD LN HORSFORTH,0.2,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,424971,437630
5138,505 HARROGATE ROAD LS17,0.3,"",6,NonIO,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,431005,440440
HLA2404860,83 Cardigan Lane LS4,0.1,"",22,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2404950,Eden Mount LS4,0.1,"",17,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2602780,25-7 Bennett Road LS6,0.1,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603270,45 St Michael's Lane LS6,0.1,"",41,LG,Main Urban Area Infill,Greenfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603310,1 North Grange Mount LS6,0.1,"",11,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603760,"51 - 61 Otley Road And 3 - 9 North Lane, LS6",0.1,"",14,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603920,"8 Holly Bank, Otley Road, Headingley, Leeds, LS6 4DJ",0.1,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2701370,Long Row Horsforth,0.2,"",7,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2701410,"Throstle Nest Villa, New Road Side",0.2,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2701470,"Low Fold Garage, New Road Side, Horsforth, Leeds",0.2,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3002370,Sutherland Avenue LS8,0.2,"",8,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3002600,468 Harrogate Road LS17,0.1,"",10,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3002640,"467 Street Lane, Roundhay, Leeds",0,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3402660,"321 Chapeltown Road, Chapeltown, Leeds, LS7 3LL",0.1,"",6,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2701430,"85 BROADGATE LANE, HORSFORTH, LEEDS, LS18",0.1,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3402690,"3 Park Crescent, Roundhay, Leeds",0.1,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA2603820,"GRANBY STREET, HEADINGLEY, LEEDS, LS6",0,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
HLA3402640,"2 ST MARTIN'S ROAD, LEEDS, LS7 3LX",0.1,"",5,LG,Main Urban Area Infill,Brownfield,Site with current or recently expired planning permission or existing UDP allocation. Principle of residential development accepted,,
376,"Ring Road West Park, Silk Mill Way and Iveson DriveIveson Drive",24.4,"",485,LG,Main Urban Area Infill,Brownfield,Suitable site for residential and employment uses.  Site has outline planning permission from 2010 for mixed use development with 485 dwellings and offices (4950sqm),425505,438306
626,Abbey Road - Kirkstall Forge  LS5,17.8,"",970,LG,Main Urban Area Infill,Brownfield,Site has planning permission for mixed use residential scheme.,424780,436673
16,"Sandhill Lane (29), Moortown  LS17 6AJ",0.4,"",10,G,Main Urban Area Infill,Brownfield,Mixed brownfield/greenfield site within urban area.  Suitable in principle for residential development.,430953,439111
37,"Vesper Road (land at), Kirkstall LS5 3NU",0.5,"",17,G,Main Urban Area Infill,Brownfield,"Brownfield site within urban area, suitable for residential development in principle.",425983,436734
81,"High Moor Court (land at rear),  High Moor Avenue, Moor Allerton",0.9,"",20,A,Main Urban Area Infill,Greenfield,Within the urban area. Residential use is acceptable in principle. Half the site to remain as green space.,431318,438958
118,The View (21/23) - Alwoodley  LS17 7NA,0.4,"",6,G,Main Urban Area Infill,Brownfield,Brownfield/greenfield site within the main urban area. The site has two properties on site currently.  Residential use acceptable in principle.,429017,440576
235,Clarence Road (land at) - Horsforth  LS18 4LB,0.7,"",25,G,Main Urban Area Infill,Brownfield,Site within the urban area. Suitable in principle for residential development.,423773,437162
1016,"Broadway and Calverley Lane, Horsforth",0.6,"",18,A,Main Urban Area Extension,Greenfield,"Green Belt site, adjoining the main urban area with strong links to Horsforth.  A main road borders the site to the west, residential development to the east and the education site to the south, so the site is well contained and development would not set a precedent for further sprawl.",423001,437583
